66;"СПБ ";4715
67;"Ekat ";4716
68;Ростов;4737
69;Mosk GT;4783
70;Mosk FF;4795
71;Воронеж FF;4951
72;Mosk ML;5076
73;Samara;5231
74;Mosk GT-R;5399
75;Nino FF;5674
76;Вахненко;5824
77;Kras;5945
78;B-SP;7437
79;"GT Ekat ";7501
80;Nosib;7538
81;Mosk IS;8129
82;Mosk VTL GT;8443
83;Mosk VTL ML;9095
84;Mosk VTL IS;9098
85;Mosk VTL FF;9099
86;SP Хахонина;9301
87;Шарейко;12133
88;SP Федотова;12768
89;Ekat FS;13411
90;SP Белуша;13414
91;Ekat BS;13666
92;Носенко;13985
93;Шеменёв;15287
94;Иванов Владимир;15288
95;Шикин;17522
96;KRAS WS;18734
97;KRAS BS;18735
98;KRAS FS;18736
